range,word,meaning
book1,evil,邪悪な
pre1,absorb,"を吸収する, を吸い込む; を取り込む; を緩和する accuse Aを訴える, 告発する, 起訴する"
pre1,adapt,"AをBに適合させる, 当てはめる"
pre1,argue,"言い争う, 口論する; Aのことで口論する"
pre1,assert,"を断言する; …ということを断言する; 明言する; …と断言する, 言い張る"
pre1,associate,"…を連想する; AとBを結びつける, AでBを連想する"
pre1,bet,を賭ける; AをBに賭ける
pre1,betray,"を裏切る, を裏切って傷つける; を破る; を漏らす"
pre1,bite,"をかむ, …にかみつく, …をかみちぎる"
pre1,bother,"を悩ませる, 困らせる; Aが…ということで困る; Aが…することを苦にする"
pre1,cancel,"を取り消す, 中止する; を無効にする; を運休にする"
pre1,capture,"を逮捕する, 捕らえる; 捕虜にする"
pre1,cheat,"をだます, 欺く; AからBをだまし取る; Aをだまして…させる"
pre1,chew,"をかむ; よくかんで食べる, かみ砕く, 咀嚼する"
pre1,chop,"…をたたき切る, ぶつ切りにする, 切り刻む, たたき折る; AをBに細かく切る, Aを切ってBにする; AのためにBを切ってやる"
pre1,collapse,"崩れ落ちる, 倒壊する, 崩壊する"
pre1,concentrate,"集中する, 精神を集中させる; 専念する, 全力を注ぐ"
pre1,conduct,"を行う, 進める, 管理する; を経営する"
pre1,consider,"をよく考える, 熟慮する; …しようかとよく考える"
pre1,convince,を納得させる; Aに…ということを納得させる
pre1,cough,せきをする; せき払いする
pre1,deceive,"をだます, 欺く, 惑わす; Aをだまして…させる"
pre1,decline,"減少する; 低下する; 衰える, 衰退する; 下落する"
pre1,decorate,"を飾る, 装飾する; を飾る"
pre1,decrease,"減少する, 縮小する"
pre1,define,を定義する; AをCと定義する
pre1,depart,"出発する, 出る"
pre1,determine,"を特定する, 明らかにする"
pre1,discourage,"を妨害する; を抑止する; Aに…することを思いとどまらせる, やめさせる"
pre1,distinguish,を識別する; AをBと区別する; AとBを見分ける
pre1,drag,"Aを引きずる, 引きずって運ぶ; Aを引きずっていく; を引きずる; …を引く"
pre1,emerge,"現れる, 出てくる"
pre1,employ,"を雇う, 雇い入れる"
pre1,enclose,"を同封する, 封入する"
pre1,encounter,"に直面する, 遭う"
pre1,endure,～に耐える
pre1,entertain,"をおもしろがらせる, 楽しませる"
pre1,fade,"消える, 暗くなる, 小さくなる; 色あせる, 薄くなる"
pre1,fasten,"を留める, 締める, 結ぶ"
pre1,flee,"逃亡する, 逃れる"
pre1,focus,"焦点を合わせる, 集中する, 着眼する, 関心が向く; 焦点が合う, 焦点をしぼる"
pre1,graduate,卒業する; 学士号を取る
pre1,grasp,"を握る, つかむ"
pre1,guarantee,"を保証する, 確約する; を確実にもたらす; の保証人になる; の担保になる"
pre1,heal,"治す,治る,癒す"
pre1,identify,"を確認する, …の身元を確認する, …を同定する; AがCであるとわかる"
pre1,imitate,"を見習う, 模範とする"
pre1,import,"を輸入する; を持ち込む, 取り入れる"
pre1,indicate,"を示す, …を指摘する; …ということを示す"
pre1,inherit,"を相続する, 受け継ぐ; のあとを継ぐ"
pre1,inspire,"を奮い立たせる, 鼓舞する; Aを奮起させて…させる; AをBへと奮起させる"
pre1,interfere,"干渉する, 口出しする"
pre1,invest,"を投資する, 投下する; をつぎ込む"
pre1,involve,"…を含む, 伴う; …を必要とする; …に関連する; …することを含む"
pre1,justify,"を正当化する, 正しいと証明する, 弁明する; …することを正当化する"
pre1,launch,"を開始する, …に乗り出す, 着手する"
pre1,locate,"を見つける, 捜し出す, を突き止める"
pre1,manufacture,"を生産する, 製造する, 作る; を加工する"
pre1,obtain,"を入手する, 獲得する, 取得する"
pre1,overlook,"を見落とす, …に気づかない"
